longueur d'onde;nitrate de baryum;chlorure de cuivre(II);chlorure de sodium
nm;1u = 3lux;1u = 3lux;1u = 3lux
689,006;33,334;39,48;39,48
689,178;66,216;112,185;112,185
689,35;64,23;78,774;78,774
689,522;72,935;122,013;122,013
689,694;75,555;103,793;103,793
689,866;71,259;92,884;92,884
690,038;73,842;86,936;86,936
690,21;81,673;116,285;116,285
690,382;68,603;105,264;105,264
690,554;46,161;83,977;83,977
690,726;42,099;87,166;87,166
690,898;56,093;94,722;94,722
691,07;55,358;104,78;104,78
691,242;74,135;101,685;101,685
691,414;45,275;90,021;90,021
691,586;54,859;105,123;105,123
691,758;69,983;91,22;91,22
691,93;64,387;93,32;93,32
692,103;67,191;83,925;83,925
692,275;68,105;110,44;110,44
692,447;70,268;95,626;95,626
692,619;61,531;103,799;103,799
692,791;59,545;84,59;84,59
692,963;57,706;99,498;99,498
693,135;51,289;82,575;82,575
693,307;74,52;116,603;116,603
693,479;60,984;100,477;100,477
693,651;51,477;112,874;112,874
693,823;51,076;93,534;93,534
693,995;43,24;97,348;97,348
694,167;61,215;102,379;102,379
694,339;74,715;98,274;98,274
694,511;70,954;113,545;113,545
694,683;76,617;103,891;103,891
694,855;66,897;108,599;108,599
695,027;47,793;114,578;114,578
695,199;71,528;120,483;120,483
695,371;62,744;112,443;112,443
695,543;77,314;103,745;103,745
695,715;70,359;89,183;89,183
695,887;43,611;86,299;86,299
696,059;69,329;88,668;88,668
696,231;85,746;95,935;95,935
696,403;48,465;102,147;102,147
696,575;76,99;140,397;140,397
696,747;72,459;102,214;102,214
696,919;70,886;114,679;114,679
697,092;71,289;102,632;102,632
697,264;35,398;77,34;77,34
697,436;66,941;126,839;126,839
697,608;78,528;89,958;89,958
697,78;67,594;95,511;95,511
697,952;54,376;98,865;98,865
698,124;38,837;87,003;87,003
698,296;73,377;100,712;100,712
698,468;48,534;111,058;111,058
698,64;53,087;98,672;98,672
698,812;67,131;107,802;107,802
698,984;52,878;89,852;89,852
699,156;61,827;79,875;79,875
699,328;89,549;142,375;142,375
699,5;60,402;74,345;74,345
699,672;38,346;79,935;79,935
699,844;44,916;86,129;86,129
700,016;46,267;63,744;63,744
700,188;71,272;115,052;115,052
700,36;67,287;99,498;99,498
700,532;68,194;136,299;136,299
700,704;65,98;100,943;100,943
700,876;59,207;108,444;108,444
701,048;74,716;71,451;71,451
701,22;72,744;110,872;110,872
701,392;70,347;94,726;94,726
701,564;53,803;120,164;120,164
701,736;54,361;92,054;92,054
701,908;51,488;98,016;98,016
702,08;81,689;81,02;81,02
702,252;70,353;70,76;70,76
702,424;55,682;93,089;93,089
702,596;64,895;99,436;99,436
702,768;66,971;104,786;104,786
702,94;54,292;113,796;113,796
703,112;26,525;94,848;94,848
703,284;62,978;87,417;87,417
703,456;49,381;90,783;90,783
703,628;62,456;105,925;105,925
703,8;43,369;102,35;102,35
703,972;51,44;105,978;105,978
704,144;66,543;122,634;122,634
704,316;84,68;109,793;109,793
704,488;74,198;97,293;97,293
704,66;60,629;82,003;82,003
704,832;68,075;110,42;110,42
705,004;62,748;113,65;113,65
705,176;58,454;100,655;100,655
705,348;52,941;79,779;79,779
705,52;45,454;87,292;87,292
705,692;56,761;90,367;90,367
705,864;66,577;108,051;108,051
706,036;63,39;103,486;103,486
706,208;57,181;115,479;115,479
706,38;60,401;95,777;95,777
706,552;44,661;90,74;90,74
706,724;61,459;131,13;131,13
706,896;71,281;96,932;96,932
707,068;62,725;129,534;129,534
707,24;76,93;117,661;117,661
707,412;61,895;116,818;116,818
707,584;62,887;108,614;108,614
707,756;47,54;82,004;82,004
707,928;52,724;95,826;95,826
708,099;67,452;100,121;100,121
708,271;73,876;131,725;131,725
708,443;56,774;117,103;117,103
708,615;58,073;107,602;107,602
708,787;91,388;109,206;109,206
708,959;68,768;117,425;117,425
709,131;63,348;88,601;88,601
709,303;35,746;79,095;79,095
709,475;83,371;128,678;128,678
709,647;69,119;121,321;121,321
709,819;71,491;106,02;106,02
709,991;60,212;88,222;88,222
710,163;53,485;126,126;126,126
710,335;54,428;133,177;133,177
710,507;82,505;93,843;93,843
710,679;50,804;126,487;126,487
710,851;57,231;101,147;101,147
711,023;58,017;102,943;102,943
711,195;40,105;123,511;123,511
711,367;19,596;105,676;105,676
711,539;73,777;126,867;126,867
711,711;94,612;106,251;106,251
711,883;67,67;145,61;145,61
712,055;60,585;124,008;124,008
712,227;46,387;160,748;160,748
712,399;61,055;137,984;137,984
712,571;56,309;107,388;107,388
712,743;67,093;136,588;136,588
712,915;67,613;119,566;119,566
713,086;61,059;103,714;103,714
713,258;35,631;105,441;105,441
713,43;52,221;105,529;105,529
713,602;58,489;121,496;121,496
713,774;72,93;148,67;148,67
713,946;61,155;109,175;109,175
714,118;67,244;134,811;134,811
714,29;40,461;87,529;87,529
